,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
62,pore_throat_radius,2e-06,34000.0,56591.9039003,4.88661856522e-10,-4.88661858497e-10,8.6068833679e-18,0.856177863592,69350.406951,0.357881993414,1.14393740598e-10,2415.70345555
63,pore_throat_radius,3e-06,22666.6666667,56591.9039003,4.88661856522e-10,-4.88661863756e-10,2.71301361054e-17,0.817914163864,66251.047273,0.287577749523,9.2145116276e-11,1941.14980928
64,pore_throat_radius,4e-06,17000.0,56591.9039003,4.88661856522e-10,-4.88661859518e-10,1.04877945572e-17,0.748449451561,60624.4055765,0.24269590541,7.77859829909e-11,1638.19736152
65,pore_throat_radius,5e-06,13600.0,56591.9039003,4.88661856522e-10,-4.88661857279e-10,2.54454932919e-18,0.684458330322,55441.124756,0.211416375619,6.77365237861e-11,1427.06053543
66,pore_throat_radius,6e-06,11333.3333333,56591.9039003,4.88661856522e-10,-4.88661856686e-10,5.36152285939e-19,0.629988125773,51029.0381876,0.188237181959,6.02779073912e-11,1270.60097823
67,pore_throat_radius,7e-06,9714.28571429,56591.9039003,4.88661856522e-10,-4.88661856556e-10,1.08418311617e-19,0.584060498267,47308.9003596,0.170286386615,5.44991371285e-11,1149.43310965
68,pore_throat_radius,8e-06,8500.0,56591.9039003,4.88661856522e-10,-4.88661856529e-10,2.18524515348e-20,0.54509002091,44152.2916937,0.155919040006,4.98742597841e-11,1052.45352004
69,pore_throat_radius,9e-06,7555.55555556,56591.9039003,4.88661856522e-10,-4.88661856523e-10,4.46089651427e-21,0.511685210328,41446.5020366,0.144123078284,4.60782577698e-11,972.830778417
70,pore_throat_radius,1e-05,6800.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,9.28593252549e-22,0.482747073552,39102.5129577,0.134240056035,4.28991470136e-11,906.120378233
71,sediment_thermal_conductivity,0.5,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,4.04388271352e-23,0.185769784891,15047.3525762,0.530884394836,1.6825302849e-10,3583.46966514
72,sediment_thermal_conductivity,1.38888888889,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.12902270036e-23,0.256192651882,20751.6048024,0.519654364056,1.64725997814e-10,3507.66695738
73,sediment_thermal_conductivity,2.27777777778,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.66363524669e-23,0.318198896848,25774.1106447,0.51032247498,1.6179631962e-10,3444.67670611
74,sediment_thermal_conductivity,3.16666666667,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.5471279033e-23,0.373578145666,30259.8297989,0.502386282063,1.59304346805e-10,3391.10740393
75,sediment_thermal_conductivity,4.05555555556,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.04224662003e-23,0.423576507959,34309.6971447,0.495517661613,1.5714648041e-10,3344.74421589
76,sediment_thermal_conductivity,4.94444444444,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.60743838146e-23,0.469103970903,37997.4216431,0.489490481799,1.55251633097e-10,3304.06075214
77,sediment_thermal_conductivity,5.83333333333,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.71880326392e-22,0.510849386379,41378.8002967,0.484142333825,1.53568907381e-10,3267.96075332
78,sediment_thermal_conductivity,6.72222222222,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.68257028569e-22,0.549349082722,44497.2757005,0.47935270118,1.52060618503e-10,3235.63073296
79,sediment_thermal_conductivity,7.61111111111,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.75584605198e-22,0.585030190343,47387.4454177,0.475029749241,1.50698096129e-10,3206.45080738
80,sediment_thermal_conductivity,8.5,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73960841311e-22,0.618239262031,50077.3802245,0.471101943034,1.49459032305e-10,3179.93811548
81,frozen_fringe_porosity,0.25,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.65345113356e-22,0.556465875397,56342.1698839,0.473430186886,1.50097137853e-10,3195.65376148
82,frozen_fringe_porosity,0.272222222222,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.7342045687e-22,0.552803528119,54312.9466377,0.47456874366,1.50469517367e-10,3203.3390197
83,frozen_fringe_porosity,0.294444444444,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.74639416062e-22,0.549062929927,52298.2440756,0.475736704043,1.50851417998e-10,3211.22275229
84,frozen_fringe_porosity,0.316666666667,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.75417578079e-22,0.545241372587,50298.5166211,0.476935294013,1.51243229412e-10,3219.31323458
85,frozen_fringe_porosity,0.338888888889,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.65760963745e-22,0.541336013696,48314.2392224,0.478165811504,1.51645363785e-10,3227.61922765
86,frozen_fringe_porosity,0.361111111111,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.64520641116e-22,0.537343867832,46345.9086005,0.479429632149,1.52058257509e-10,3236.15001701
87,frozen_fringe_porosity,0.383333333333,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73924836955e-22,0.533261796949,44394.044596,0.480728215465,1.52482373073e-10,3244.91545439
88,frozen_fringe_porosity,0.405555555556,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.71012236331e-22,0.529086499966,42459.1916222,0.482063111596,1.52918201107e-10,3253.92600327
89,frozen_fringe_porosity,0.427777777778,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.75082263021e-22,0.524814501436,40541.920236,0.483435968705,1.53366262651e-10,3263.19278876
90,frozen_fringe_porosity,0.45,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.69634527574e-22,0.52044213923,38642.8288378,0.484848541088,1.53827111633e-10,3272.72765234
91,permeability,1e-18,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,-2.587790243e-22,0.0392669167717,3180.62025851,0.382672101489,1.2126045481e-10,2583.03668505
