,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
90,friction_angle,26.8421052632,68000.0,45831.7353609,4.32997321676e-10,-4.32997321676e-10,1.74114608618e-22,0.601126606411,48691.2551193,0.482072634769,1.52969542511e-10,3253.99028469
91,friction_angle,28.1578947368,68000.0,48475.3954459,4.46673511634e-10,-4.46673511634e-10,1.72882135506e-22,0.582046518974,47145.7680369,0.48199324732,1.52929896216e-10,3253.45441941
92,friction_angle,29.4736842105,68000.0,51184.8674218,4.60690159855e-10,-4.60690159855e-10,1.74419925217e-22,0.563666778705,45657.0090751,0.481907646827,1.52889253506e-10,3252.87661608
93,friction_angle,30.7894736842,68000.0,53965.6092554,4.75075501509e-10,-4.75075501509e-10,1.75502849792e-22,0.545931139747,44220.4223195,0.481815850388,1.52847531783e-10,3252.25699012
94,friction_angle,32.1052631579,68000.0,56823.524522,4.89860076988e-10,-4.89860076988e-10,1.73818675404e-22,0.528788545877,42831.872216,0.481717821418,1.52804641663e-10,3251.59529457
95,friction_angle,33.4210526316,68000.0,59765.016802,5.05077013314e-10,-5.05077013314e-10,1.73061682827e-22,0.512192512023,41487.5934739,0.48161347138,1.52760486145e-10,3250.89093181
96,friction_angle,34.7368421053,68000.0,62797.0516773,5.20762344854e-10,-5.20762344854e-10,8.43014842182e-23,0.496100590154,40184.1478025,0.481502660481,1.52714959665e-10,3250.14295825
97,friction_angle,36.0526315789,68000.0,65927.2276383,5.36955380141e-10,-5.36955380141e-10,8.25340776506e-23,0.480473906247,38918.386406,0.481385197361,1.5266794701e-10,3249.35008219
98,friction_angle,37.3684210526,68000.0,69163.8574724,5.53699122911e-10,-5.53699122911e-10,8.54076612718e-23,0.465276757393,37687.4173488,0.481260837812,1.52619322075e-10,3248.51065523
99,friction_angle,38.6842105263,68000.0,72516.0620264,5.71040757154e-10,-5.71040757154e-10,8.64321493713e-23,0.450476259943,36488.5770554,0.481129282505,1.52568946429e-10,3247.62265691
100,friction_angle,40.0,68000.0,75993.8786328,5.89032208028e-10,-5.89032208028e-10,7.81581429651e-23,0.436042041157,35319.4053337,0.480990173681,1.5251666765e-10,3246.68367235
101,geothermal_heat_flux,0.02,68000.0,56591.9039003,3.58061552223e-10,-3.58061552223e-10,1.71004014744e-22,0.731540987367,59254.8199767,0.482405944642,1.53186614273e-10,3256.24012633
102,geothermal_heat_flux,0.0242105263158,68000.0,56591.9039003,3.71808952675e-10,-3.71808952675e-10,1.73904416339e-22,0.703678766132,56997.9800567,0.482361202149,1.53146811681e-10,3255.93811451
103,geothermal_heat_flux,0.0284210526316,68000.0,56591.9039003,3.85556353128e-10,-3.85556353128e-10,1.73595219004e-22,0.67780327461,54902.0652434,0.482307884393,1.53106999887e-10,3255.57821966
104,geothermal_heat_flux,0.0326315789474,68000.0,56591.9039003,3.9930375358e-10,-3.9930375358e-10,1.74204898849e-22,0.65370931285,52950.4543409,0.482247147242,1.53067178892e-10,3255.16824388
105,geothermal_heat_flux,0.0368421052632,68000.0,56591.9039003,4.13051154033e-10,-4.13051154033e-10,1.70215344263e-22,0.631218999227,51128.7389374,0.482179957657,1.53027348694e-10,3254.71471419
106,geothermal_heat_flux,0.0410526315789,68000.0,56591.9039003,4.26798554485e-10,-4.26798554485e-10,1.67600316588e-22,0.610177370746,49424.3670304,0.482107129572,1.52987509294e-10,3254.22312461
107,geothermal_heat_flux,0.0452631578947,68000.0,56591.9039003,4.40545954938e-10,-4.40545954938e-10,1.71432634045e-22,0.590448807125,47826.3533771,0.482029352058,1.5294766069e-10,3253.69812639
108,geothermal_heat_flux,0.0494736842105,68000.0,56591.9039003,4.5429335539e-10,-4.5429335539e-10,1.73426776414e-22,0.571914104137,46325.0424351,0.481947211625,1.52907802884e-10,3253.14367847
109,geothermal_heat_flux,0.0536842105263,68000.0,56591.9039003,4.68040755843e-10,-4.68040755843e-10,1.68961510649e-22,0.554468062733,44911.9130814,0.48186121001,1.52867935874e-10,3252.56316757
110,geothermal_heat_flux,0.0578947368421,68000.0,56591.9039003,4.81788156295e-10,-4.81788156295e-10,1.70957224726e-22,0.538017490912,43579.4167639,0.481771778465,1.52828059661e-10,3251.95950464
111,geothermal_heat_flux,0.0621052631579,68000.0,56591.9039003,4.95535556748e-10,-4.95535556748e-10,1.66482243141e-22,0.522479538192,42320.8425936,0.481679289312,1.52788174243e-10,3251.33520286
112,geothermal_heat_flux,0.0663157894737,68000.0,56591.9039003,5.092829572e-10,-5.092829572e-10,1.7588521994e-22,0.507780299837,41130.2042868,0.481584065351,1.52748279621e-10,3250.69244112
113,geothermal_heat_flux,0.0705263157895,68000.0,56591.9039003,5.23030357653e-10,-5.23030357653e-10,8.52402184872e-23,0.493853641198,40002.1449371,0.481486387554,1.52708375794e-10,3250.03311599
