,variable,value,entry_pressure,basal_shear_stress,basal_melt_rate,fringe_heave_rate,fringe_growth_rate,fringe_thickness,fringe_sedflux,dispersed_layer_thickness,dispersed_layer_growth_rate,dispersed_sedflux
153,sediment_thermal_conductivity,5.55263157895,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.54675964825e-23,0.498040178682,40341.2544733,1.21502681833,1.54079874417e-10,8201.43102375
154,sediment_thermal_conductivity,5.97368421053,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.72798842461e-22,0.517131990778,41887.691253,1.20901670567,1.53319985434e-10,8160.86276325
155,sediment_thermal_conductivity,6.39473684211,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.70895736599e-22,0.535513587867,43376.6006172,1.20330725403,1.52597983217e-10,8122.32396472
156,sediment_thermal_conductivity,6.81578947368,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73543700135e-22,0.553231125274,44811.7211472,1.19787381429,1.51910762845e-10,8085.64824645
157,sediment_thermal_conductivity,7.23684210526,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.70427989546e-22,0.570326302152,46196.4304743,1.19269455974,1.51255575491e-10,8050.68827824
158,sediment_thermal_conductivity,7.65789473684,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.74897558211e-22,0.586836936335,47533.7918431,1.18775007392,1.50629976281e-10,8017.31299893
159,sediment_thermal_conductivity,8.07894736842,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.71521542628e-22,0.602797446901,48826.593199,1.18302301091,1.50031781366e-10,7985.40532364
160,sediment_thermal_conductivity,8.5,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73960841311e-22,0.618239262031,50077.3802245,1.17849781345,1.49459032305e-10,7954.86024082
161,frozen_fringe_porosity,0.25,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.65345113356e-22,0.556465875397,56342.1698839,1.18383975829,1.50097137853e-10,7990.91836845
162,frozen_fringe_porosity,0.260526315789,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.70029751614e-22,0.554740666968,55379.1768459,1.18520505928,1.50272365162e-10,8000.13415015
163,frozen_fringe_porosity,0.271052631579,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.74251584492e-22,0.552998210981,54419.3897359,1.18658670887,1.50449684388e-10,8009.46028489
164,frozen_fringe_porosity,0.281578947368,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73921427255e-22,0.551238230314,53462.8552058,1.1879850195,1.50629135161e-10,8018.89888162
165,frozen_fringe_porosity,0.292105263158,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.64283320201e-22,0.549460441526,52509.620879,1.18940031191,1.50810758158e-10,8028.45210537
166,frozen_fringe_porosity,0.302631578947,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73162910257e-22,0.547664554671,51559.7353772,1.19083291545,1.50994595147e-10,8038.12217928
167,frozen_fringe_porosity,0.313157894737,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.67840571108e-22,0.545850273093,50613.2483485,1.19228316839,1.51180689015e-10,8047.91138663
168,frozen_fringe_porosity,0.323684210526,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.75834631009e-22,0.544017293231,49670.2104964,1.19375141822,1.51369083814e-10,8057.82207297
169,frozen_fringe_porosity,0.334210526316,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.69549293825e-22,0.542165304397,48730.6736096,1.19523802198,1.515598248e-10,8067.85664834
170,frozen_fringe_porosity,0.344736842105,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.68040475926e-22,0.540293988561,47794.6905933,1.19674334661,1.51752958476e-10,8078.01758963
171,frozen_fringe_porosity,0.355263157895,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.69765854033e-22,0.538403020119,46862.3155012,1.19826776933,1.51948532638e-10,8088.30744297
172,frozen_fringe_porosity,0.365789473684,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.70301191543e-22,0.536492065657,45933.6035688,1.19981167796,1.52146596418e-10,8098.72882624
173,frozen_fringe_porosity,0.376315789474,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73730658762e-22,0.534560783697,45008.6112484,1.20137547137,1.52347200338e-10,8109.28443177
174,frozen_fringe_porosity,0.386842105263,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73049098743e-22,0.532608824446,44087.3962446,1.20295955986,1.52550396359e-10,8119.97702908
175,frozen_fringe_porosity,0.397368421053,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.66770604218e-22,0.530635829522,43170.0175518,1.20456436559,1.52756237931e-10,8130.80946773
176,frozen_fringe_porosity,0.407894736842,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.72569378091e-22,0.52864143168,42256.5354928,1.20619032302,1.52964780056e-10,8141.78468041
177,frozen_fringe_porosity,0.418421052632,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.75348819886e-22,0.526625254513,41347.011759,1.20783787941,1.5317607934e-10,8152.90568605
178,frozen_fringe_porosity,0.428947368421,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.73663911088e-22,0.52458691216,40441.5094519,1.20950749528,1.5339019406e-10,8164.17559317
179,frozen_fringe_porosity,0.439473684211,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.72028302429e-22,0.52252600898,39540.0931269,1.21119964494,1.53607184221e-10,8175.59760332
180,frozen_fringe_porosity,0.45,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,1.69634527574e-22,0.52044213923,38642.8288378,1.212914817,1.53827111633e-10,8187.17501476
181,permeability,1e-18,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,2.39610207685e-22,0.0392669167717,3180.62025851,0.956691196796,1.2126045481e-10,6457.66557837
182,permeability,6.21052631579e-18,68000.0,56591.9039003,4.88661856522e-10,-4.88661856522e-10,8.84746781264e-24,0.185338989585,15012.4581564,1.03070235614,1.30648298139e-10,6957.24090392
